YEAR;MONTH;STATE_NAME;STATE_CODE;CO2_QTY_TONNES;TF
2010;1;ALBANIA;LA;8.318,42;821
2010;1;ARMENIA;UD;13.456,68;662
2010;1;AUSTRIA;LO;171.535,23;14.972
2010;1;BELGIUM;EB;309.092,82;11.546
2010;1;BOSNIA AND HERZEGOVINA;LQ;2.888,00;478
2010;1;BULGARIA;LB;34.760,88;2.177
2010;1;CANARY ISLANDS;GC;254.688,44;13.494
2010;1;CROATIA;LD;12.141,85;1.956
2010;1;CYPRUS;LC;47.704,34;1.789
2010;1;CZECHIA;LK;68.318,75;6.256
2010;1;DENMARK*;EK;184.601,73;12.996
2010;1;FINLAND;EF;160.290,69;10.592
2010;1;FRANCE;LF;1.467.158,58;68.257
2010;1;GERMANY;ED;2.067.437,03;80.421
2010;1;GREECE;LG;142.515,50;14.377
2010;1;HUNGARY;LH;48.575,84;3.851
2010;1;ICELAND;BI;12.064,19;1.117
2010;1;IRELAND;EI;150.363,83;8.920
2010;1;ITALY;LI;899.660,53;60.178
2010;1;KOSOVO;BK;7.746,91;599
2010;1;LIECHTENSTEIN;LS;0,35;1
2010;1;LITHUANIA;EY;12.874,97;1.414
2010;1;LUXEMBOURG;EL;89.324,88;1.916
2010;1;MALTA;LM;16.447,51;909
2010;1;MOLDOVA, REPUBLIC OF;LU;4.626,30;448
2010;1;MONACO;LN;6,22;14
2010;1;MONTENEGRO;LY;4.208,66;577
2010;1;NETHERLANDS;EH;718.585,19;18.317
2010;1;NORTH MACEDONIA;LW;3.648,76;440
2010;1;NORWAY*;EN;192.277,84;28.332
2010;1;POLAND;EP;107.673,58;10.530
2010;1;PORTUGAL*;LP;226.468,51;10.881
2010;1;ROMANIA;LR;64.663,55;6.182
2010;1;SERBIA;LY;14.327,67;1.555
2010;1;SLOVAKIA;LZ;9.049,32;1.291
2010;1;SLOVENIA;LJ;7.481,52;1.308
2010;1;SPAIN;LE;940.913,46;52.687
2010;1;SWEDEN;ES;201.565,85;18.178
2010;1;SWITZERLAND;LS;358.901,79;19.656
2010;1;TÜRKIYE;LT;490.284,61;25.816
2010;1;UNITED KINGDOM*;EG;2.367.956,03;82.530
2010;2;ALBANIA;LA;6.279,47;668
2010;2;ARMENIA;UD;11.213,87;558
2010;2;AUSTRIA;LO;157.908,07;14.307
2010;2;BELGIUM;EB;296.550,80;11.404
2010;2;BOSNIA AND HERZEGOVINA;LQ;2.482,92;451
2010;2;BULGARIA;LB;27.457,12;1.964
2010;2;CANARY ISLANDS;GC;227.947,19;11.951
2010;2;CROATIA;LD;10.904,56;1.783
2010;2;CYPRUS;LC;43.851,89;1.620
2010;2;CZECHIA;LK;61.726,20;5.815
2010;2;DENMARK*;EK;176.059,29;13.106
2010;2;FINLAND;EF;149.032,86;11.028
2010;2;FRANCE;LF;1.322.141,96;65.510
2010;2;GERMANY;ED;1.894.780,33;80.004
2010;2;GREECE;LG;121.075,50;12.138
2010;2;HUNGARY;LH;44.322,04;3.662
2010;2;ICELAND;BI;10.586,77;1.183
2010;2;IRELAND;EI;134.731,07;8.518
2010;2;ITALY;LI;815.751,94;57.901
2010;2;KOSOVO;BK;6.320,10;518
