DATAFLOW,LAST UPDATE,freq,unit,tra_cov,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,AT,2013,10371,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,AT,2014,10234,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,AT,2015,9667,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,AT,2016,9298,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,AT,2017,9269,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,AT,2018,9918,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,AT,2019,10792,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,AT,2020,4613,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,AT,2021,5557,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,AT,2022,11893,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,BE,2013,,c
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,BE,2014,,c
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,BE,2015,,c
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,BE,2016,,c
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,BE,2017,,c
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,BE,2018,,c
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,BE,2019,,c
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,BE,2020,,c
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,BE,2021,,c
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,BE,2022,,c
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,BG,2013,332,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,BG,2014,289,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,BG,2015,234,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,BG,2016,515,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,BG,2017,784,
