DATAFLOW,LAST UPDATE,freq,unit,vehicle,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,AL,2020,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,AL,2021,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,BG,2014,,z
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,EE,2014,,z
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,EE,2015,,z
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,EE,2016,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,EE,2017,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,EE,2018,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,EE,2019,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,EE,2020,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,EE,2021,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,EL,2018,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,EL,2019,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,EL,2020,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,EL,2021,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,FI,2013,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,FI,2014,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,FI,2015,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,FI,2016,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,FI,2017,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,FI,2018,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,FI,2019,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,FI,2020,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,FI,2021,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,FR,2016,283169000,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,FR,2017,306890535,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,FR,2018,297411278,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,FR,2019,318934685,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,FR,2020,190824019,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,FR,2021,248285835,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,HR,2013,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,HR,2014,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,HR,2015,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,HR,2016,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,HR,2017,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,HR,2018,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,HR,2019,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,HR,2020,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,HR,2021,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,IE,2014,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,LT,2013,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,LT,2014,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,LT,2015,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,LT,2016,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,LT,2017,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,LT,2018,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,LT,2019,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,LT,2020,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,LT,2021,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,LV,2013,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,LV,2014,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,LV,2015,0,
ESTAT:RAIL_PA_SPEED(1.0),04-10-2023 23:00,A,PAS,TRN_HSPD,LV,2016,0,
